Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Angers,21,7.0,124,71,42,59,23,68,98,69.4,30,56,14,42,52,176,115,4
vs Auxerre,22,7.0,121,67,66,39,16,55,106,51.9,51,78,29,49,57,178,195,3
vs Brest,24,7.0,104,64,51,37,16,44,80,55.0,36,84,36,48,55,159,199,2
vs Le Havre,22,7.0,108,67,53,40,15,46,87,52.9,41,69,19,50,55,163,194,7
vs Lens,22,7.0,112,64,47,46,19,54,110,49.1,56,83,25,58,50,162,137,7
vs Lille,26,7.0,103,54,57,31,15,52,102,51.0,50,114,39,75,82,185,196,6
vs Lorient,22,7.0,113,62,44,50,19,51,107,47.7,56,76,21,55,50,163,133,6
vs Lyon,22,7.0,82,52,33,41,8,41,87,47.1,46,80,21,59,55,137,133,2
vs Marseille,28,7.0,76,52,45,25,6,46,83,55.4,37,64,23,41,49,125,180,8
vs Metz,23,7.0,121,67,42,56,23,52,100,52.0,48,69,19,50,50,171,159,3
vs Monaco,26,7.0,129,74,72,45,12,67,109,61.5,42,78,20,58,75,204,203,10
vs Nantes,21,7.0,107,61,37,48,22,50,112,44.6,62,78,24,54,45,152,143,3
vs Nice,26,7.0,109,62,52,39,18,51,104,49.0,53,76,26,50,41,150,186,2
vs Paris FC,24,7.0,105,70,49,38,18,48,88,54.5,40,55,18,37,42,147,169,9
vs Paris S-G,22,8.0,182,101,116,47,19,112,184,60.9,72,98,31,67,87,269,164,4
vs Rennes,25,7.0,110,61,50,32,28,53,106,50.0,53,82,27,55,66,176,148,6
vs Strasbourg,25,8.0,168,108,85,63,20,92,160,57.5,68,76,21,55,61,229,161,6
vs Toulouse,21,7.0,128,75,67,45,16,66,129,51.2,63,68,23,45,49,177,148,4
