Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Angers,21,7.0,134,83,86,40,8,70,117,59.8,47,73,21,52,59,193,174,8
Auxerre,22,7.0,151,83,81,51,19,63,118,53.4,55,84,20,64,65,216,153,4
Brest,24,7.0,141,85,59,57,25,76,154,49.4,78,86,29,57,55,196,172,3
Le Havre,22,7.0,107,53,45,42,20,54,100,54.0,46,62,14,48,58,165,177,4
Lens,22,7.0,135,74,76,38,21,72,125,57.6,53,112,37,75,83,218,180,3
Lille,26,7.0,103,57,40,47,16,56,112,50.0,56,72,16,56,72,175,140,9
Lorient,22,7.0,91,55,51,31,9,45,78,57.7,33,56,16,40,69,160,166,3
Lyon,22,7.0,92,52,47,37,8,48,98,49.0,50,89,38,51,52,144,169,6
Marseille,28,7.0,94,56,30,44,20,43,80,53.8,37,56,17,39,39,133,124,4
Metz,23,7.0,132,82,75,41,16,67,126,53.2,59,73,20,53,42,174,154,5
Monaco,26,7.0,116,72,38,50,28,47,113,41.6,66,91,25,66,63,179,139,5
Nantes,21,7.0,113,67,62,38,13,59,102,57.8,43,81,32,49,52,165,192,3
Nice,26,7.0,99,63,51,32,16,34,81,42.0,47,55,21,34,57,156,175,5
Paris FC,24,7.0,102,61,52,37,13,41,71,57.7,30,59,24,35,47,149,177,9
Paris S-G,22,8.0,129,85,45,57,27,76,119,63.9,43,86,21,65,46,175,110,5
Rennes,25,7.0,96,54,46,39,11,54,103,52.4,49,76,28,48,48,144,168,7
Strasbourg,25,8.0,147,78,60,58,29,75,142,52.8,67,96,23,73,51,198,184,6
Toulouse,21,7.0,120,72,64,42,14,68,113,60.2,45,77,34,43,63,183,209,3
