Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Angers,21,36.6,7.0,3514,497,1485,1488,578,97,3513,102,30,29.4,68,66.7,1678,9083,4634,100,53,20,134,56,2120,182
Auxerre,22,44.3,7.0,3692,379,1255,1615,872,108,3691,120,51,42.5,55,45.8,2000,9550,4245,83,66,21,114,66,2205,205
Brest,24,44.3,7.0,3698,453,1371,1562,802,137,3696,83,36,43.4,44,53.0,2016,9231,4223,74,61,19,121,60,2168,199
Le Havre,22,46.9,7.0,4011,455,1358,1822,871,121,4009,93,41,44.1,46,49.5,2279,12220,5908,111,72,16,109,62,2569,227
Lens,22,44.7,7.0,3933,509,1503,1529,942,182,3931,122,56,45.9,54,44.3,1972,9396,4773,103,65,33,107,58,2390,240
Lille,26,55.0,7.0,4345,354,1271,1964,1136,219,4343,107,50,46.7,52,48.6,2487,12170,6303,128,80,43,77,51,2918,308
Lorient,22,43.7,7.0,3913,414,1361,1735,855,144,3912,119,56,47.1,51,42.9,2407,12180,6390,129,77,24,86,62,2647,247
Lyon,22,55.4,7.0,4358,520,1555,1948,894,151,4358,94,46,48.9,41,43.6,2615,13236,6865,123,86,29,92,41,3050,244
Marseille,28,57.3,7.0,4866,358,1102,2430,1361,173,4863,88,37,42.0,46,52.3,3250,13219,6390,106,86,38,87,30,3665,303
Metz,23,47.7,7.0,4195,589,1760,1788,678,99,4193,107,48,44.9,52,48.6,2491,12911,6548,110,81,28,112,69,2892,193
Monaco,26,56.7,7.0,4730,392,1142,2396,1234,171,4727,114,42,36.8,67,58.8,2601,13610,7304,127,95,33,111,62,3267,324
Nantes,21,44.4,7.0,3743,641,1745,1456,584,120,3742,116,62,53.4,50,43.1,2137,10609,5428,90,50,24,108,57,2338,167
Nice,26,52.9,7.0,4244,423,1208,2025,1047,157,4243,114,53,46.5,51,44.7,2619,14114,7557,129,96,26,111,58,2835,279
Paris FC,24,55.3,7.0,4738,518,1613,2161,998,164,4736,92,40,43.5,48,52.2,2538,12694,6503,128,82,53,93,57,3456,311
Paris S-G,22,70.4,8.0,7269,461,1581,3644,2095,234,7265,195,72,36.9,112,57.4,4607,23246,11448,212,173,69,122,70,5805,429
Rennes,25,52.6,7.0,4432,488,1447,1950,1079,128,4431,109,53,48.6,53,48.6,2284,13157,6930,116,90,31,82,57,3117,310
Strasbourg,25,48.9,8.0,5108,570,1758,2346,1047,166,5106,167,68,40.7,92,55.1,3099,13792,6842,146,84,34,138,76,3532,327
Toulouse,21,40.3,7.0,3431,401,1182,1522,769,162,3428,133,63,47.4,66,49.6,1727,8735,4635,89,62,34,103,62,2002,202
