Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Paris S-G,8,5,2,1,16,8,8,17,2.13,13.4,8.6,4.8,0.6,W L W D D,47612,Bradley Barcola - 4,Lucas Chevalier,
2,Strasbourg,8,5,1,2,17,10,7,16,2.0,15.7,9.9,5.8,0.72,W W L W D,23475,Joaquín Panichelli - 7,Mike Penders,
3,Marseille,7,5,0,2,15,5,10,15,2.14,12.7,7.2,5.5,0.79,L W W W W,64787,Pierre-Emerick Aubameyang - 3,Gerónimo Rulli,
4,Lyon,7,5,0,2,9,5,4,15,2.14,11.6,8.4,3.2,0.46,W L W W L,49450,"Corentin Tolisso, Malick Fofana - 2",Rémy Descamps,
5,Monaco,7,4,1,2,16,12,4,13,1.86,13.7,11.1,2.6,0.38,W W W L D,8758,Ansu Fati - 5,Philipp Köhn,
6,Lens,7,4,1,2,10,6,4,13,1.86,12.8,9.9,2.8,0.4,W L W D W,37864,"Wesley Saïd, Florian Thauvin... - 2",Robin Risser,
7,Lille,7,3,2,2,14,10,4,11,1.57,13.9,10.6,3.2,0.46,W W L L D,44692,"Olivier Giroud, Hákon Arnar Haraldsson... - 2",Berke Özer,
8,Paris FC,7,3,1,3,12,13,-1,10,1.43,11.1,11.2,-0.1,-0.02,W W L D W,17780,Ilan Kebbal - 4,Obed Nkambadio,
9,Toulouse,7,3,1,3,11,12,-1,10,1.43,10.3,9.5,0.8,0.11,L L L D W,25832,Frank Magri - 3,Guillaume Restes,
10,Rennes,7,2,4,1,9,10,-1,10,1.43,8.7,12.3,-3.7,-0.52,D W D D D,27389,Esteban Lepaul - 3,Brice Samba,
11,Brest,7,2,2,3,11,11,0,8,1.14,11.5,11.3,0.2,0.03,L L W W D,14633,Romain Del Castillo - 3,Radosław Majecki,
12,Nice,7,2,2,3,9,12,-3,8,1.14,9.4,12.1,-2.8,-0.39,L W L D D,21383,Sofiane Diop - 3,Yehvann Diouf,
13,Lorient,7,2,1,4,9,16,-7,7,1.0,9.3,11.3,-2.1,-0.29,L L D W L,14472,"Tosin Aiyegun, Pablo Pagis - 3",Yvon Mvogo,
14,Nantes,7,1,3,3,5,7,-2,6,0.86,5.3,10.5,-5.2,-0.74,W L D D D,31391,"Youssef El-Arabi, Mostafa Mohamed... - 1",Anthony Lopes,
15,Le Havre,7,1,3,3,8,10,-2,6,0.86,9.7,7.6,2.1,0.31,W L D D D,17793,"Issa Soumaré, Rassoul Ndiaye - 3",Mory Diaw,
16,Auxerre,7,2,0,5,5,10,-5,6,0.86,7.5,9.4,-2.0,-0.28,L L W L L,16325,Lassine Sinayoko - 2,Donovan Léon,
17,Angers,7,1,2,4,3,11,-8,5,0.71,6.6,13.8,-7.1,-1.02,D D L L L,11297,"Esteban Lepaul, Himad Abdelli... - 1",Hervé Koffi,
18,Metz,7,0,2,5,5,16,-11,2,0.29,7.1,15.4,-8.4,-1.19,L D L D L,23598,"Jean-Philippe Gbamin, Habib Diallo... - 1",Jonathan Fischer,
