Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Angers,21,7.0,4206,4811,87.4,73127,21939,1826,1965,92.9,1954,2132,91.7,328,512,64.1,7,9.3,7.9,-2.3,71,366,50,10,366
vs Auxerre,22,7.0,3044,3630,83.9,52289,17682,1320,1450,91.0,1407,1573,89.4,230,420,54.8,9,8.1,7.4,0.9,67,233,47,13,253
vs Brest,24,7.0,3006,3655,82.2,54022,18561,1268,1448,87.6,1409,1555,90.6,279,500,55.8,5,6.9,8.5,-1.9,62,220,75,19,323
vs Le Havre,22,7.0,3090,3694,83.6,52716,17574,1438,1585,90.7,1295,1463,88.5,277,465,59.6,6,5.5,5.3,0.5,46,235,43,12,260
vs Lens,22,7.0,3174,3829,82.9,55727,18818,1380,1535,89.9,1403,1566,89.6,294,517,56.9,4,7.9,8.1,-3.9,78,251,59,13,282
vs Lille,26,7.0,2379,2981,79.8,42298,14604,1080,1226,88.1,1037,1186,87.4,229,442,51.8,5,7.1,4.9,-2.1,52,158,32,6,191
vs Lorient,22,7.0,3642,4208,86.5,65153,18553,1419,1557,91.1,1834,1990,92.2,294,483,60.9,11,6.3,7.5,4.7,55,337,50,7,315
vs Lyon,22,7.0,2362,2937,80.4,43295,15514,1010,1132,89.2,1046,1208,86.6,257,437,58.8,3,6.4,6.4,-3.4,74,181,48,12,262
vs Marseille,28,7.0,2571,3058,84.1,44270,14624,1181,1281,92.2,1097,1208,90.8,220,414,53.1,3,5.3,4.6,-2.3,48,153,37,10,192
vs Metz,23,7.0,3237,3754,86.2,53936,18323,1517,1646,92.2,1392,1528,91.1,231,388,59.5,12,11.3,9.6,0.7,72,225,59,9,309
vs Monaco,26,7.0,2412,3053,79.0,43308,16236,1015,1144,88.7,1064,1257,84.6,250,458,54.6,7,7.1,6.1,-0.1,64,194,54,9,244
vs Nantes,21,7.0,3128,3753,83.3,56361,18498,1329,1466,90.7,1413,1559,90.6,313,547,57.2,5,7.8,7.6,-2.8,85,314,70,24,323
vs Nice,26,7.0,2479,3101,79.9,46605,16872,974,1101,88.5,1178,1353,87.1,283,519,54.5,8,8.3,7.9,-0.3,71,191,58,18,207
vs Paris FC,24,7.0,2679,3264,82.1,48313,16367,1143,1278,89.4,1243,1401,88.7,246,462,53.2,11,7.8,5.5,3.2,57,164,42,9,227
vs Paris S-G,22,8.0,2069,2665,77.6,37221,15847,963,1090,88.3,832,1000,83.2,231,413,55.9,5,5.6,5.8,-0.6,57,136,42,12,175
vs Rennes,25,7.0,2799,3394,82.5,49095,16772,1282,1416,90.5,1183,1350,87.6,271,471,57.5,7,8.6,8.1,-1.6,75,233,67,20,285
vs Strasbourg,25,8.0,3726,4416,84.4,64357,20574,1577,1739,90.7,1703,1874,90.9,315,544,57.9,5,6.7,7.7,-1.7,73,229,56,16,267
vs Toulouse,21,7.0,3363,3966,84.8,58070,18890,1526,1673,91.2,1492,1657,90.0,274,488,56.1,6,5.9,6.9,0.1,67,212,59,13,260
