Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2021-03-21,20:45,Serie A,Matchweek 28,Sun,Home,L,0,2,Napoli,0.6,0.9,53,,Lorenzo Pellegrini,3-4-3,4-2-3-1,Marco Di Bello,Match Report,
2021-04-03,15:00,Serie A,Matchweek 29,Sat,Away,D,2,2,Sassuolo,1.6,2.9,31,,Lorenzo Pellegrini,4-4-2,4-2-3-1,Luca Pairetto,Match Report,
2021-04-08,21:00,Europa Lg,Quarter-finals,Thu,Away,W,2,1,nl Ajax,0.7,3.2,35,,Lorenzo Pellegrini,3-4-3,4-3-3,Sergey Karasev,Match Report,Leg 1 of 2
2021-04-11,18:00,Serie A,Matchweek 30,Sun,Home,W,1,0,Bologna,0.8,1.4,44,,Gianluca Mancini,3-4-3,4-2-3-1,Marco Guida,Match Report,
2021-04-15,21:00,Europa Lg,Quarter-finals,Thu,Home,D,1,1,nl Ajax,1.0,1.1,29,,Lorenzo Pellegrini,3-4-3,4-3-3,Anthony Taylor,Match Report,Leg 2 of 2; Roma won
2021-04-18,18:00,Serie A,Matchweek 31,Sun,Away,L,1,3,Torino,1.4,3.4,51,,Bryan Cristante,3-4-3,3-5-2,Davide Massa,Match Report,
2021-04-22,18:30,Serie A,Matchweek 32,Thu,Home,D,1,1,Atalanta,1.2,2.1,59,,Lorenzo Pellegrini,4-3-2-1,3-4-3,Giampaolo Calvarese,Match Report,
2021-04-25,18:00,Serie A,Matchweek 33,Sun,Away,L,2,3,Cagliari,1.8,1.3,70,,Lorenzo Pellegrini,3-4-3,3-4-1-2,Massimiliano Irrati,Match Report,
2021-04-29,20:00,Europa Lg,Semi-finals,Thu,Away,L,2,6,eng Manchester Utd,1.8,4.1,37,,Lorenzo Pellegrini,3-4-3,4-2-3-1,Carlos del Cerro,Match Report,Leg 1 of 2
2021-05-02,20:45,Serie A,Matchweek 34,Sun,Away,L,0,2,Sampdoria,1.7,1.3,47,,Bryan Cristante,3-4-3,4-4-1-1,Juan Sacchi,Match Report,
2021-05-06,21:00,Europa Lg,Semi-finals,Thu,Home,W,3,2,eng Manchester Utd,4.3,2.0,53,,Lorenzo Pellegrini,4-1-4-1,4-2-3-1,Felix Brych,Match Report,Leg 2 of 2; Manchester Utd won
2021-05-09,18:00,Serie A,Matchweek 35,Sun,Home,W,5,0,Crotone,1.6,0.4,62,,Lorenzo Pellegrini,4-2-3-1,3-5-2,Simone Sozza,Match Report,
2021-05-12,20:45,Serie A,Matchweek 36,Wed,Away,L,1,3,Inter,0.9,1.7,48,,Lorenzo Pellegrini,4-2-3-1,3-5-2,Daniele Chiffi,Match Report,
2021-05-15,20:45,Serie A,Matchweek 37,Sat,Home,W,2,0,Lazio,1.1,0.8,48,,Lorenzo Pellegrini,4-2-3-1,3-5-2,Luca Pairetto,Match Report,
2021-05-23,20:45,Serie A,Matchweek 38,Sun,Away,D,2,2,Spezia,2.4,2.4,57,,Bryan Cristante,4-2-3-1,4-3-3,Ivan Pezzuto,Match Report,
