Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Alavés,22,8.0,150,89,58,73,19,76,131,58.0,55,89,24,65,63,213,223,7
vs Athletic Club,24,8.0,150,89,82,56,12,76,141,53.9,65,108,43,65,91,241,255,6
vs Atlético Madrid,21,8.0,118,75,56,47,15,67,124,54.0,57,81,18,63,63,181,193,4
vs Barcelona,24,8.0,165,90,105,50,10,94,180,52.2,86,108,43,65,53,218,209,5
vs Betis,25,8.0,132,88,68,55,9,55,113,48.7,58,95,37,58,72,204,174,9
vs Celta Vigo,24,8.0,130,86,68,50,12,75,118,63.6,43,99,28,71,72,202,188,5
vs Elche,26,8.0,153,84,61,71,21,66,131,50.4,65,72,25,47,55,208,193,2
vs Espanyol,22,9.0,139,73,62,61,16,60,117,51.3,57,71,25,46,64,203,244,2
vs Getafe,23,8.0,134,85,72,48,14,58,112,51.8,54,72,18,54,37,171,248,5
vs Girona,27,8.0,144,79,57,58,29,75,146,51.4,71,69,24,45,51,195,170,3
vs Levante,24,8.0,128,70,73,45,10,53,93,57.0,40,75,24,51,57,185,191,6
vs Mallorca,24,8.0,108,66,48,41,19,46,99,46.5,53,81,20,61,43,151,199,1
vs Osasuna,20,8.0,117,65,54,52,11,55,104,52.9,49,80,16,64,49,166,211,2
vs Oviedo,26,9.0,136,90,49,62,25,79,144,54.9,65,76,20,56,80,216,178,7
vs Rayo Vallecano,23,8.0,105,67,46,48,11,52,101,51.5,49,91,23,68,65,170,205,9
vs Real Madrid,22,8.0,150,83,105,34,11,101,183,55.2,82,96,42,54,60,210,179,10
vs Real Sociedad,25,8.0,122,71,55,47,20,70,138,50.7,68,106,36,70,66,188,255,8
vs Sevilla,28,8.0,139,86,68,55,16,67,114,58.8,47,81,22,59,46,185,174,6
vs Valencia,20,8.0,113,73,57,48,8,64,111,57.7,47,73,22,51,62,175,210,2
vs Villarreal,25,8.0,140,80,76,41,23,72,134,53.7,62,63,27,36,53,193,204,7
