Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Alavés,22,8.0,8,84,26,31.0,10.5,3.25,0.1,0.31,18.4,3,0,0,6.7,6.7,0.08,1.3,1.3
vs Athletic Club,24,8.0,8,70,26,37.1,8.75,3.25,0.11,0.31,18.2,0,0,0,6.3,6.3,0.09,1.7,1.7
vs Atlético Madrid,21,8.0,10,68,21,30.9,8.5,2.62,0.13,0.43,18.7,2,1,1,8.6,7.8,0.12,1.4,1.2
vs Barcelona,24,8.0,9,54,23,42.6,6.75,2.87,0.13,0.3,15.8,1,2,2,9.1,7.7,0.15,-0.1,-0.7
vs Betis,25,8.0,7,87,30,34.5,10.87,3.75,0.08,0.23,17.2,1,0,1,8.3,7.5,0.09,-1.3,-0.5
vs Celta Vigo,24,8.0,9,87,32,36.8,10.87,4.0,0.1,0.28,17.3,1,0,1,9.1,8.3,0.1,-0.1,0.7
vs Elche,26,8.0,9,96,26,27.1,12.0,3.25,0.08,0.31,19.2,4,1,1,9.7,9.1,0.09,-0.7,-1.1
vs Espanyol,22,9.0,11,121,40,33.1,13.44,4.44,0.08,0.25,18.0,4,1,1,10.9,10.1,0.09,0.1,-0.1
vs Getafe,23,8.0,10,79,28,35.4,9.87,3.5,0.13,0.36,18.8,3,0,0,6.8,6.8,0.09,3.2,3.2
vs Girona,27,8.0,17,137,42,30.7,17.12,5.25,0.11,0.36,17.1,4,2,2,16.0,14.4,0.11,1.0,0.6
vs Levante,24,8.0,13,139,44,31.7,17.37,5.5,0.09,0.27,17.0,2,1,1,12.5,11.7,0.09,0.5,0.3
vs Mallorca,24,8.0,13,114,35,30.7,14.25,4.37,0.1,0.31,18.9,2,2,3,14.7,12.4,0.11,-1.7,-1.4
vs Osasuna,20,8.0,8,106,35,33.0,13.25,4.37,0.07,0.2,19.2,1,1,1,9.2,8.4,0.08,-1.2,-1.4
vs Oviedo,26,9.0,16,164,63,38.4,18.22,7.0,0.1,0.25,17.5,3,0,1,17.3,16.6,0.1,-1.3,-0.6
vs Rayo Vallecano,23,8.0,10,80,30,37.5,10.0,3.75,0.1,0.27,17.1,2,2,2,11.2,9.7,0.12,-1.2,-1.7
vs Real Madrid,22,8.0,9,79,20,25.3,9.87,2.5,0.09,0.35,17.5,2,2,2,9.5,8.0,0.1,-0.5,-1.0
vs Real Sociedad,25,8.0,11,112,31,27.7,14.0,3.87,0.09,0.32,17.9,3,1,1,12.6,11.8,0.11,-1.6,-1.8
vs Sevilla,28,8.0,11,100,38,38.0,12.5,4.75,0.09,0.24,17.7,2,2,3,13.4,11.1,0.11,-2.4,-2.1
vs Valencia,20,8.0,14,110,39,35.5,13.75,4.87,0.13,0.36,17.9,5,0,0,11.0,11.0,0.1,3.0,3.0
vs Villarreal,25,8.0,8,89,24,27.0,11.12,3.0,0.07,0.25,18.4,3,2,3,10.5,8.2,0.1,-2.5,-2.2
