Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Alavés,22,28.1,8,720,90,100,8.0,88,81,50,38,18,53,1.38,8,9,-1,-0.12,6.7,7.9,-1.2,-0.14
vs Athletic Club,24,27.6,8,720,90,100,8.0,88,80,50,38,20,48,1.25,9,9,0,0.0,6.3,11.8,-5.5,-0.69
vs Atlético Madrid,21,27.6,8,720,90,100,8.0,88,81,49,40,22,54,0.88,10,15,-5,-0.62,8.6,13.3,-4.7,-0.59
vs Barcelona,24,28.5,8,720,90,100,8.0,88,80,46,40,23,51,0.5,9,22,-13,-1.62,9.1,18.0,-8.9,-1.11
vs Betis,25,27.1,8,720,90,100,8.0,88,83,48,40,22,48,0.75,8,13,-5,-0.62,8.3,11.2,-2.9,-0.36
vs Celta Vigo,24,28.1,8,720,90,100,8.0,88,79,52,36,18,47,1.5,10,7,3,0.37,9.1,9.3,-0.2,-0.03
vs Elche,26,27.8,8,720,90,100,8.0,88,82,51,37,22,56,0.88,9,11,-2,-0.25,9.7,9.5,0.1,0.02
vs Espanyol,22,27.5,9,810,90,100,9.0,99,81,56,43,21,55,1.0,11,13,-2,-0.22,10.9,17.1,-6.2,-0.69
vs Getafe,23,27.3,8,720,90,100,8.0,88,81,52,37,23,53,1.38,11,9,2,0.25,6.8,5.5,1.3,0.16
vs Girona,27,27.0,8,720,90,100,8.0,88,76,49,39,26,54,1.88,17,5,12,1.5,16.0,6.6,9.4,1.17
vs Levante,24,26.9,8,720,90,100,8.0,88,81,47,39,23,50,1.75,14,13,1,0.12,12.5,11.8,0.7,0.09
vs Mallorca,24,26.7,8,720,90,100,8.0,88,79,47,40,19,54,2.13,13,7,6,0.75,14.7,6.3,8.5,1.06
vs Osasuna,20,27.5,8,720,90,100,8.0,88,82,50,37,25,53,1.63,8,7,1,0.12,9.2,7.9,1.2,0.16
vs Oviedo,26,26.9,9,810,90,100,9.0,99,78,52,47,18,55,2.33,16,4,12,1.33,17.3,7.1,10.2,1.14
vs Rayo Vallecano,23,27.3,8,720,90,100,8.0,88,81,51,36,22,55,1.75,10,8,2,0.25,11.2,12.0,-0.7,-0.09
vs Real Madrid,22,27.7,8,720,90,100,8.0,88,82,48,38,19,53,0.38,9,19,-10,-1.25,9.5,17.6,-8.1,-1.01
vs Real Sociedad,25,27.9,8,720,90,100,8.0,88,80,47,40,22,53,2.13,12,7,5,0.62,12.6,10.4,2.2,0.28
vs Sevilla,28,27.8,8,720,90,100,8.0,88,81,53,35,19,51,1.25,11,15,-4,-0.5,13.4,8.0,5.4,0.68
vs Valencia,20,27.5,8,720,90,100,8.0,88,79,52,34,20,53,1.75,14,10,4,0.5,11.0,8.9,2.1,0.26
vs Villarreal,25,27.3,8,720,90,100,8.0,88,79,49,39,24,50,0.88,8,14,-6,-0.75,10.5,13.3,-2.8,-0.34
