Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Alavés,22,49.4,8.0,4623,483,1515,2064,1090,150,4623,146,70,47.9,64,43.8,2384,11738,5854,99,95,18,131,91,2820,254
vs Athletic Club,24,46.9,8.0,4599,632,1929,1926,798,111,4599,150,66,44.0,58,38.7,2332,12267,6216,127,101,23,136,54,2774,195
vs Atlético Madrid,21,45.6,8.0,4773,537,1432,2202,1174,120,4772,142,57,40.1,63,44.4,2722,12617,6505,108,105,20,125,48,3219,298
vs Barcelona,24,30.0,8.0,3172,641,1459,1155,593,114,3170,99,39,39.4,52,52.5,1342,6963,3330,73,40,24,99,70,1567,133
vs Betis,25,49.9,8.0,5063,459,1540,2428,1143,157,5062,159,76,47.8,66,41.5,2880,14401,7378,152,95,35,124,75,3370,342
vs Celta Vigo,24,46.3,8.0,4861,572,1705,2018,1180,161,4860,134,49,36.6,64,47.8,2813,13382,6537,125,95,28,121,75,3307,257
vs Elche,26,42.8,8.0,4257,409,1222,1962,1116,165,4256,125,43,34.4,70,56.0,2166,12091,5897,125,89,40,123,67,2654,269
vs Espanyol,22,58.1,9.0,6133,563,1867,2946,1376,212,6132,155,73,47.1,67,43.2,3703,18697,9830,181,136,48,163,64,4282,393
vs Getafe,23,59.5,8.0,5022,388,1530,2409,1119,130,5022,149,58,38.9,84,56.4,2800,13593,7032,121,85,29,121,67,3208,275
vs Girona,27,54.3,8.0,5148,420,1434,2359,1409,221,5146,105,54,51.4,43,41.0,2975,14691,8132,153,115,43,124,61,3602,362
vs Levante,24,60.4,8.0,5459,340,1390,2654,1460,234,5458,156,65,41.7,76,48.7,3108,17191,9000,181,109,46,101,63,3772,382
vs Mallorca,24,56.4,8.0,5101,375,1189,2415,1533,212,5098,131,49,37.4,64,48.9,2808,14203,7594,157,102,55,104,58,3516,369
vs Osasuna,20,55.5,8.0,5216,486,1483,2276,1496,169,5215,130,52,40.0,63,48.5,2913,14457,7448,154,123,40,129,56,3531,357
vs Oviedo,26,57.1,9.0,6273,427,1375,2951,2000,269,6272,171,59,34.5,83,48.5,3917,20052,10425,207,149,60,129,64,4469,464
vs Rayo Vallecano,23,46.0,8.0,4355,531,1580,1822,1001,163,4353,143,67,46.9,64,44.8,2370,13173,6910,129,103,42,125,68,2657,264
vs Real Madrid,22,38.1,8.0,4010,555,1579,1650,837,131,4008,114,44,38.6,62,54.4,2230,11320,5846,130,85,31,117,76,2510,217
vs Real Sociedad,25,47.8,8.0,4692,588,1668,2016,1059,167,4691,167,77,46.1,72,43.1,2574,13138,6619,119,101,37,125,65,2922,256
vs Sevilla,28,48.6,8.0,4302,445,1377,1963,1014,184,4299,175,69,39.4,85,48.6,2119,12064,6448,120,74,39,150,72,2588,272
vs Valencia,20,52.1,8.0,4747,428,1326,2255,1201,195,4747,106,42,39.6,59,55.7,2501,12380,6227,132,86,41,133,61,3111,312
vs Villarreal,25,53.5,8.0,5434,546,1600,2538,1331,181,5431,186,64,34.4,102,54.8,3171,14504,7718,136,94,32,105,56,3893,378
