Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Alavés,22,8.0,22,1,0,113,126,18,143,63,89,0,3,1,328,150,160,48.4
vs Athletic Club,24,8.0,21,1,1,109,102,36,107,91,89,0,3,1,366,101,99,50.5
vs Atlético Madrid,21,8.0,22,0,0,93,84,5,132,63,75,1,2,1,293,108,103,51.2
vs Barcelona,24,8.0,26,2,1,98,69,42,86,53,90,1,2,1,282,67,106,38.7
vs Betis,25,8.0,22,1,0,119,64,23,166,72,88,1,0,1,385,99,119,45.4
vs Celta Vigo,24,8.0,19,1,1,87,89,10,120,72,86,0,1,0,337,62,53,53.9
vs Elche,26,8.0,17,0,0,137,94,11,153,55,84,0,1,0,360,100,70,58.8
vs Espanyol,22,9.0,23,0,0,98,105,11,168,64,73,1,3,0,354,168,127,56.9
vs Getafe,23,8.0,21,1,0,117,111,21,135,37,85,0,0,0,309,148,103,59.0
vs Girona,27,8.0,8,0,0,105,75,7,154,51,79,2,0,0,310,98,78,55.7
vs Levante,24,8.0,15,2,1,93,111,7,206,57,70,1,1,0,301,118,103,53.4
vs Mallorca,24,8.0,17,2,0,103,89,12,150,43,66,2,1,0,308,104,115,47.5
vs Osasuna,20,8.0,14,1,0,86,94,14,162,49,65,1,1,0,347,89,156,36.3
vs Oviedo,26,9.0,11,0,0,94,97,11,188,80,90,1,1,0,364,100,127,44.1
vs Rayo Vallecano,23,8.0,11,1,0,86,99,7,116,65,67,2,1,0,350,107,73,59.4
vs Real Madrid,22,8.0,14,2,1,112,73,4,126,60,83,1,3,0,298,67,88,43.2
vs Real Sociedad,25,8.0,14,1,0,86,117,10,102,66,71,1,1,0,292,111,111,50.0
vs Sevilla,28,8.0,17,1,0,110,123,9,143,46,86,3,1,1,328,83,117,41.5
vs Valencia,20,8.0,15,4,2,81,86,28,143,62,73,0,1,0,319,108,97,52.7
vs Villarreal,25,8.0,14,2,2,88,84,3,117,53,80,2,0,0,296,83,66,55.7
