Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Alavés,22,8.0,18,0,0,134,106,18,161,66,90,2,0,0,341,160,150,51.6
Athletic Club,24,8.0,13,2,0,106,101,5,215,60,70,3,0,1,352,99,101,49.5
Atlético Madrid,21,8.0,19,2,1,93,88,11,172,64,64,1,1,0,336,103,108,48.8
Barcelona,24,8.0,11,0,0,72,97,16,114,47,74,2,2,0,314,106,67,61.3
Betis,25,8.0,17,0,0,71,111,11,130,67,77,0,1,1,369,119,99,54.6
Celta Vigo,24,8.0,13,0,0,95,78,13,142,48,84,1,1,1,307,53,62,46.1
Elche,26,8.0,15,1,0,97,128,10,116,69,81,0,1,0,333,70,100,41.2
Espanyol,22,9.0,14,1,0,118,94,13,205,61,87,3,1,0,352,127,168,43.1
Getafe,23,8.0,20,0,0,119,111,21,124,62,106,0,0,1,300,103,148,41.0
Girona,27,8.0,17,5,2,79,100,17,116,65,61,0,2,0,277,78,98,44.3
Levante,24,8.0,19,0,0,116,85,17,84,51,72,0,1,1,260,103,118,46.6
Mallorca,24,8.0,18,3,2,99,97,11,145,53,62,1,3,0,304,115,104,52.5
Osasuna,20,8.0,15,2,1,101,80,9,117,67,72,0,1,0,349,156,89,63.7
Oviedo,26,9.0,22,3,2,100,86,19,124,62,96,1,1,0,313,127,100,55.9
Rayo Vallecano,23,8.0,22,1,0,105,78,20,175,72,65,1,2,0,369,73,107,40.6
Real Madrid,22,8.0,14,1,0,78,108,11,110,53,79,3,2,0,335,88,67,56.8
Real Sociedad,25,8.0,19,0,0,120,78,14,169,46,86,0,1,1,331,111,111,50.0
Sevilla,28,8.0,27,0,0,128,106,28,126,63,100,1,3,0,368,117,83,58.5
Valencia,20,8.0,12,1,0,92,75,10,136,57,63,1,0,0,281,97,108,47.3
Villarreal,25,8.0,18,1,1,92,85,15,136,69,100,0,3,0,336,66,83,44.3
