Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alavés,22,8.0,155,90,69,69,17,64,134,47.8,70,89,28,61,66,221,214,4
Athletic Club,24,8.0,112,70,35,52,25,58,124,46.8,66,77,14,63,60,172,148,6
Atlético Madrid,21,8.0,111,64,57,40,14,63,120,52.5,57,60,11,49,64,175,150,6
Barcelona,24,8.0,122,74,49,54,19,52,91,57.1,39,73,12,61,47,169,146,2
Betis,25,8.0,141,77,66,56,19,66,142,46.5,76,75,18,57,67,208,277,5
Celta Vigo,24,8.0,139,84,55,56,28,64,113,56.6,49,72,21,51,48,187,189,5
Elche,26,8.0,137,81,72,53,12,70,113,61.9,43,75,31,44,69,206,202,6
Espanyol,22,9.0,131,87,69,45,17,67,140,47.9,73,91,34,57,61,192,223,3
Getafe,23,8.0,151,106,77,58,16,84,142,59.2,58,92,16,76,62,213,255,4
Girona,27,8.0,104,61,62,36,6,43,97,44.3,54,79,31,48,65,169,196,11
Levante,24,8.0,139,72,67,57,15,76,141,53.9,65,94,37,57,51,190,256,4
Mallorca,24,8.0,122,62,72,41,9,64,113,56.6,49,95,28,67,53,175,218,4
Osasuna,20,8.0,119,72,74,43,2,63,115,54.8,52,87,29,58,67,186,246,4
Oviedo,26,9.0,147,96,91,50,6,83,142,58.5,59,99,47,52,62,209,288,12
Rayo Vallecano,23,8.0,132,65,66,55,11,64,131,48.9,67,103,27,76,72,204,162,4
Real Madrid,22,8.0,138,79,52,58,28,62,106,58.5,44,84,32,52,53,191,148,5
Real Sociedad,25,8.0,137,86,81,44,12,72,149,48.3,77,80,30,50,46,183,177,6
Sevilla,28,8.0,157,100,67,67,23,85,154,55.2,69,95,31,64,63,220,232,4
Valencia,20,8.0,120,63,61,47,12,59,101,58.4,42,72,29,43,57,177,223,3
Villarreal,25,8.0,159,100,78,61,20,102,166,61.4,64,94,31,63,69,228,153,8
