Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Alavés,1,8.0,9,3,0,2,1,8.2,0.19,0.2,0.03,49,113,43.4,216,31,38.9,35.1,60,48.3,41.2,125,4,3.2,9,1.13,14.3
vs Athletic Club,1,8.0,9,3,0,2,1,10.0,0.22,2.0,0.25,34,115,29.6,216,44,40.7,38.4,63,42.9,37.7,176,9,5.1,13,1.63,13.9
vs Atlético Madrid,1,8.0,15,1,2,0,1,13.9,0.31,-0.1,-0.02,44,128,34.4,213,31,44.6,38.8,71,46.5,38.7,132,6,4.5,7,0.88,11.3
vs Barcelona,2,8.0,22,1,0,5,1,17.8,0.27,-3.2,-0.4,61,190,32.1,203,35,64.0,46.8,74,81.1,57.9,85,2,2.4,12,1.5,15.4
vs Betis,2,8.0,13,0,0,1,1,12.2,0.34,0.2,0.03,38,97,39.2,218,37,32.1,31.8,58,46.6,39.0,98,10,10.2,20,2.5,17.0
vs Celta Vigo,1,8.0,7,1,0,2,0,8.1,0.26,1.1,0.14,40,127,31.5,244,26,38.1,38.4,74,45.9,36.7,110,4,3.6,16,2.0,15.9
vs Elche,2,8.0,11,0,1,0,0,9.3,0.28,-1.7,-0.21,32,87,36.8,175,28,40.6,37.0,44,36.4,32.9,83,3,3.6,6,0.75,11.6
vs Espanyol,1,9.0,13,2,0,2,0,17.8,0.36,4.8,0.54,36,93,38.7,239,40,28.5,33.2,71,35.2,33.7,164,12,7.3,12,1.33,15.3
vs Getafe,1,8.0,9,0,0,3,0,6.9,0.32,-2.1,-0.26,30,90,33.3,194,32,36.1,35.4,47,42.6,40.0,91,2,2.2,15,1.88,16.6
vs Girona,2,8.0,5,0,0,0,0,8.8,0.32,3.8,0.48,22,67,32.8,177,45,32.2,34.1,40,25.0,29.8,82,5,6.1,11,1.38,17.2
vs Levante,2,8.0,13,1,1,1,0,12.2,0.45,-0.8,-0.1,40,90,44.4,189,31,33.9,33.4,50,52.0,42.7,58,2,3.4,12,1.5,17.9
vs Mallorca,1,8.0,7,1,0,1,0,6.2,0.19,-0.8,-0.1,30,82,36.6,167,23,31.7,34.5,49,59.2,50.4,113,2,1.8,11,1.38,17.2
vs Osasuna,1,8.0,7,1,0,1,0,6.8,0.27,-0.2,-0.02,33,116,28.4,248,29,34.7,34.7,61,49.2,41.0,101,6,5.9,26,3.25,19.1
vs Oviedo,1,9.0,4,0,0,1,0,5.9,0.2,1.9,0.21,36,98,36.7,242,25,35.1,32.3,46,28.3,31.3,97,5,5.2,20,2.22,17.0
vs Rayo Vallecano,1,8.0,8,1,0,1,0,10.9,0.31,2.9,0.36,46,116,39.7,231,57,33.3,33.2,72,54.2,43.3,135,6,4.4,17,2.13,16.2
vs Real Madrid,1,8.0,19,3,0,1,0,17.3,0.29,-1.7,-0.21,38,112,33.9,179,20,41.9,38.2,81,45.7,40.1,74,3,4.1,8,1.0,15.7
vs Real Sociedad,1,8.0,7,1,0,0,0,10.7,0.31,3.7,0.46,42,139,30.2,221,26,46.6,38.9,76,47.4,38.1,131,9,6.9,7,0.88,13.2
vs Sevilla,2,8.0,15,1,0,0,1,9.9,0.33,-4.1,-0.51,30,128,23.4,248,20,39.5,35.3,52,57.7,43.4,95,7,7.4,5,0.63,14.3
vs Valencia,1,8.0,10,0,0,3,0,8.6,0.31,-1.4,-0.18,40,98,40.8,206,35,36.4,35.5,42,54.8,42.5,104,3,2.9,16,2.0,20.5
vs Villarreal,2,8.0,14,0,0,2,0,12.2,0.31,-1.8,-0.23,45,91,49.5,168,31,34.5,33.2,81,40.7,35.9,105,3,2.9,9,1.13,14.7
