Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Alavés,22,28.1,49.4,8,88,720,8.0,8,4,12,8,0,0,22,1,6.7,6.7,4.0,10.8,99,254,1.0,0.5,1.5,1.0,1.5,0.84,0.5,1.35,0.84,1.35
vs Athletic Club,24,27.6,46.9,8,88,720,8.0,8,7,15,8,0,0,21,1,6.3,6.3,5.4,11.7,127,195,1.0,0.87,1.87,1.0,1.87,0.79,0.67,1.46,0.79,1.46
vs Atlético Madrid,21,27.6,45.6,8,88,720,8.0,10,8,18,9,1,1,22,0,8.6,7.8,6.3,14.1,108,300,1.25,1.0,2.25,1.13,2.12,1.07,0.78,1.86,0.98,1.76
vs Barcelona,24,28.5,30.0,8,88,720,8.0,9,6,15,7,2,2,26,2,9.1,7.7,6.7,14.4,73,134,1.13,0.75,1.87,0.87,1.62,1.14,0.84,1.97,0.97,1.8
vs Betis,25,27.1,49.9,8,88,720,8.0,7,5,12,7,0,1,22,1,8.3,7.5,6.3,13.8,152,344,0.87,0.62,1.5,0.87,1.5,1.04,0.79,1.83,0.94,1.73
vs Celta Vigo,24,28.1,46.3,8,88,720,8.0,9,7,16,9,0,1,19,1,9.1,8.3,6.9,15.2,125,259,1.13,0.87,2.0,1.13,2.0,1.14,0.86,1.99,1.04,1.89
vs Elche,26,27.8,42.8,8,88,720,8.0,9,8,17,8,1,1,17,0,9.7,9.1,6.7,15.7,125,272,1.13,1.0,2.12,1.0,2.0,1.21,0.83,2.04,1.13,1.97
vs Espanyol,22,27.5,58.1,9,99,810,9.0,11,8,19,10,1,1,23,0,10.9,10.1,7.8,17.9,181,398,1.22,0.89,2.11,1.11,2.0,1.21,0.87,2.08,1.12,1.99
vs Getafe,23,27.3,59.5,8,88,720,8.0,10,9,19,10,0,0,21,1,6.8,6.8,5.8,12.6,121,277,1.25,1.13,2.37,1.25,2.37,0.85,0.73,1.58,0.85,1.58
vs Girona,27,27.0,54.3,8,88,720,8.0,17,10,27,15,2,2,8,0,16.0,14.4,10.6,25.0,153,365,2.12,1.25,3.38,1.87,3.12,2.0,1.33,3.32,1.8,3.13
vs Levante,24,26.9,60.4,8,88,720,8.0,13,11,24,12,1,1,15,2,12.5,11.7,9.4,21.1,181,385,1.62,1.37,3.0,1.5,2.87,1.56,1.18,2.74,1.46,2.64
vs Mallorca,24,26.7,56.4,8,88,720,8.0,13,9,22,11,2,3,17,2,14.7,12.4,10.3,22.7,157,372,1.62,1.13,2.75,1.37,2.5,1.84,1.29,3.13,1.55,2.84
vs Osasuna,20,27.5,55.5,8,88,720,8.0,8,5,13,7,1,1,14,1,9.2,8.4,7.5,15.9,154,361,1.0,0.62,1.62,0.87,1.5,1.15,0.93,2.08,1.05,1.98
vs Oviedo,26,26.9,57.1,9,99,810,9.0,16,11,27,16,0,1,11,0,17.3,16.6,10.9,27.5,207,467,1.78,1.22,3.0,1.78,3.0,1.93,1.21,3.14,1.84,3.05
vs Rayo Vallecano,23,27.3,46.0,8,88,720,8.0,10,6,16,8,2,2,11,1,11.2,9.7,7.7,17.3,129,265,1.25,0.75,2.0,1.0,1.75,1.41,0.96,2.36,1.21,2.17
vs Real Madrid,22,27.7,38.1,8,88,720,8.0,9,5,14,7,2,2,14,2,9.5,8.0,6.2,14.2,130,221,1.13,0.62,1.75,0.87,1.5,1.19,0.78,1.97,1.0,1.78
vs Real Sociedad,25,27.9,47.8,8,88,720,8.0,11,9,20,10,1,1,14,1,12.6,11.8,10.0,21.8,119,258,1.37,1.13,2.5,1.25,2.37,1.58,1.25,2.83,1.48,2.73
vs Sevilla,28,27.8,48.6,8,88,720,8.0,11,7,18,9,2,3,17,1,13.4,11.1,8.4,19.5,120,273,1.37,0.87,2.25,1.13,2.0,1.68,1.05,2.73,1.39,2.44
vs Valencia,20,27.5,52.1,8,88,720,8.0,14,10,24,14,0,0,15,4,11.0,11.0,9.1,20.1,132,316,1.75,1.25,3.0,1.75,3.0,1.38,1.13,2.51,1.38,2.51
vs Villarreal,25,27.3,53.5,8,88,720,8.0,8,5,13,6,2,3,14,2,10.5,8.2,7.0,15.1,136,382,1.0,0.62,1.62,0.75,1.37,1.32,0.87,2.19,1.02,1.89
